cat_id,train_text
7,تقدیر از دارندگان رتبه های زیر 1000 کنکور در بویین زهرا \r\n به گزارش خبرگزاری فارس از قزوین، حجت الاسلام خطیب امامقلی بعد از ظهر امروز در نشست شورای آموزش و پرورش استان قزوین که در سالن جلسات دفتر استاندار برگزار شد، اظهار کرد: به منظور تلاش در راستای ارتقای آمار موفقیت در آزمون سراسری، همایش کنکور در شهرستان بویین زهرا برگزار و از رتبه های زیر 1000 کنکور سراسری سال 93 در این شهرستان تقدیر شد. \r\n\r\n وی با اشاره به هفته گرامیداشت شوراهای آموزش و پرورش، افزود: آن گونه که از ترکیب شورای آموزش و پرورش برمی آید، مسئولان و دستگاه های مختلف در آن گردهم می آیند تا در حد توان و متناسب با ظرفیت های خود، آموزش و پرورش را در تحقق اهداف، مسئولیت ها، تکالیف و وظایف تعیین شده آن یاری کنند. \r\n\r\n رئیس اداره آموزش و پرورش بویین زهرا ادامه داد: در این شوراها در صورتی که آموزش و پرورش به کمک نهاد دیگری نیاز داشته باشد، به واسطه قرار داشتن استاندار در رأس و ریاست آن، رفع این نیاز تسهیل می شود و استاندار برای رفع نیاز آموزش و پرورش برای این نهادها تعیین تکلیف می کند. \r\n\r\n امامقلی با اشاره به نقش عوامل اجتماعی در موفقیت دانش آموزان در آزمون سراسری تصریح کرد: عوامل اجتماعی به خود دستگاه ها و خانواده ها برمی گردد و همان گونه که مقام معظم رهبری فرموده اند، همه دستگاه ها باید به آموزش و پرورش کمک کنند. \r\n\r\n رئیس اداره آموزش و پرورش بویین زهرا با بیان اینکه آموزش و پرورش مهمترین سرمایه هر جامعه محسوب می شود، خاطرنشان کرد: توجه ویژه به این نهاد در جامعه نهادینه نشده است؛ در حالی که اگر اهمیت آن برای همه مشخص باشد، آموزش و پرورش و در نتیجه جامعه به موفقیت دست می یابد. \r\n\r\n فرماندار تاکستان نیز در این نشست طی سخنانی اظهار کرد: پیگیری مصوبات شوراهای آموزش و پرورش در هر شهرستان وظیفه دبیر شوراست و دبیر وظیفه دارد در صورت انجام نشدن مصوبات از سوی دستگاه ها، مراتب را به فرماندار به عنوان رئیس شورا انتقال دهد. \r\n\r\n ایرج رحمانی توسعه جوامع در تمام زمینه ها را در گرو توجه جدی به آموزش و پرورش دانست و ادامه داد: برای انجام هر کار باید از ظرفیت کمی و کیفی این نهاد بهره جست؛ زیرا امتیازاتی نظیر کمیت آموزش و پرورش را هیچ نهادی در اختیار ندارد. \r\n\r\n انتهای پیام/77011/ش30
7,آموزش قوانین راهنمایی و رانندگی به بیش از 4 هزار دانش آموز مدارس حاشیه راه ها \r\n محمدرضا دشتی زاده امروز در گفت وگو با خبرنگار فارس در ایرانشهر اظهار کرد: اداره کل راه و شهرسازی جنوب سیستان و بلوچستان قوانین راهنمایی و رانندگی را به بیش از چهار هزار دانش آموز مدارس حاشیه راه ها آموزش داد. \r\n\r\n وی ادامه داد: رعایت قوانین راهنمایی و رانندگی اداره کل راه و شهرسازی ایرانشهر اقدام به آموزش و فرهنگ سازی از سنین پایین در مدارس حاشیه راه ها کرده است و این کار را به صورت جدی در اولویت قرار داده است. \r\n\r\n رئیس اداره ایمنی، ترافیک و حریم راه های اداره کل راه و شهرسازی ایرانشهر با بیان اینکه دانش آموزان مدارس حاشیه راه های اکثر شهرستان های جنوب سیستان و بلوچستان آموزش های لازم را در این زمینه فراگرفته اند، گفت: امیدواریم با آموزش بیشتر شاهد کاهش تصادفات در حوزه عابرین پیاده و دانش آموزان باشیم. \r\n\r\n وی تاکید کرد: آموزش این دانش آموزان در سنین کودکی سبب نهادینه شدن فرهنگ ترافیک و رعایت قوانین راهنمایی و رانندگی می شود. \r\n\r\n انتهای پیام/75004/م20
7,کمک مردمی 400 میلیون ریالی به آموزش و پرورش چاروسا \r\n به گزارش خبرگزاری فارس از چاروسا، تورج جاوید در جمع خبرنگاران اظهار داشت: آموزش و پرورش به عنوان ترسیم کننده مسیر پیشرفت کشور باید در راستای تربیت انسان های کارآمد و آینده ساز گام بردارد. \r\n\r\n معاون پرورشی آموزش و پرورش چاروسا بیان کرد: آموزش و پرورش می تواند با تربیت انسان های آگاه، دانا، توانمند، خداشناس و وطن پرست موجبات موفقیت کشور را در همه بخش های صنعتی، تولیدی، سیاسی، فرهنگی و اجتماعی فراهم کند. \r\n\r\n وی افزود: یکی از مهمترین نهادهای تأثیرگذار در تصمیم گیری های هر منطقه در حوزه تعلیم و تربیت و زیرساخت های اساسی رشد و بهبود آموزشی شورای آموزش و پرورش می باشد. \r\n\r\n جاوید با بیان اینکه در تعالیم اسلامی هیچ موضوعی ارزشمندتر از تعلیم و تربیت نیست، اذعان داشت: فراهم کردن زمینه رشد خلاقیت و توانمندی نسل آینده ساز کاری بسیار مهم است و از این رو هر چقدر برای این نهاد سرمایه گذاری شود به همان اندازه و بلکه بیشتر جامعه از منافع آن بهره مند می شود. \r\n\r\n معاون پرورشی آموزش و پرورش چاروسا با تبریک هفته شوراهای آموزش و پرورش ابراز داشت: هفته شوراهای آموزش و پرورش، فرصت بسیار ارزشمندی برای سپاس و قدردانی از خدمات خیران بزرگوار و تلاش های ارزنده و بی وقفه همه فرهنگیان زحمتکش و دلسوز و همچنین، اعضای شورای آموزش و پرورش شهرستان است. \r\n\r\n جاوید تاکید کرد: آموزش و پرورش یک نهاد مردمی است و به همه تعلق دارد بنابراین همه باید در جهت اعتلای نظام آموزش و پرورش همکاری لازم را داشته باشیم. \r\n\r\n وی با اشاره به اینکه در 10 ماه اول سال 93 مبلغ 400 میلیون ریال کمک مردمی به آموزش و پرورش کمک شد، خاطرنشان کرد: رسالت اطلاع رسانی فرهنگ سازی مشارکت و همراهی اولیاء و مربیان از وظایف و عملکرد بسیار خوب رسانه ها بوده که با ترسیم صحیح شرایط موجود مردم را به مشارکت و همراهی تشویق کرده اند و لازم از خیران و کسانی که با آموزش و پرورش همکاری کردند تشکر کرد. \r\n\r\n جاوید در پایان گفت: مبلغ جمع آوری شده در جهت رفع مشکلات آموزشی دانش آموزان هزینه خواهد شد. \r\n\r\n انتهای پیام/82021/ک
7,آینده ایران در دست دانش آموزان امروز است \r\n به گزارش مرکز اطلاع رسانی و روابط عمومی وزارت آموزش و پرورش به نقل از استان فارس، حمیدرضا آذری در آیین جشن سپاس، ویژه دبیران وهنرآموزان دوره متوسطه دوم آموزش و پرورش ناحیه یک شیراز با اشاره به این مطلب، بر اهمیت توجه به نسل امروز تاکید کرد. \r\n\r\n مدیرکل آموزش و پرورش فارس گفت: باید این نگاه در جامعه حاکم شود که آموزش و پرورش، آینده کشور را می سازد. \r\n\r\n آذری باشاره به اینکه هدف آموزش و پرورش تربیت شهروند خوب است گفت: اگر سایر نهادها به کمک آموزش و پرورش بیایند، این امر میسر خواهد شد. \r\n\r\n مدیرکل آموزش و پرورش فارس همچنین با تاکید بر جایگاه رفیع معلم گفت: تازمانی که دغدغه های یک معلم مرتفع نشود، نمی توان از آنان انتظار تحول در جامعه را داشت. \r\n\r\n آذری همچنین با اشاره به اینکه هیچ عمل صالحی بالاتر از کمک به انسان نیست و اینکه این انسان است که جامعه را می سازد، از معلمین خواست تا تمام توان خود را برای توسعه و نشر فرهنگ برتر بین دانش آموزان انجام دهند.
7,اجرای صد درصدی تعهدات سوادآموزی آموزش و پرورش ابهر \r\n به گزارش خبرگزاری فارس از زنجان، مدیر آموزش و پرورش شهرستان ابهر دوشنبه شب در حاشیه مراسم تجلیل از فعالان عرصه سوادآموزی در جمع خبرنگاران اظهار داشت: آموزش و پرورش این شهرستان تعهد خود را در زمینه سوادآموزی را صد درصد اجرایی کرده است. \r\n موسی رضایی با اشاره به اینکه برگزاری جلسات با مدیران مدارس، برگزاری نشست های فرهنگی و آموزش با اولیا از جمله برنامه های آموزش و پرورش ابهر برای کاهش بی سوادان در شهرستان است، ادامه داد: شناسایی و جذب دانش آموزان ترک تحصیلی و جلوگیری از ترک تحصیل دانش آموزان از دیگر فعالیت های این نهاد در راستای انسداد بی سوادی در شهرستان ابهر است. \r\n مدیر آموزش و پرورش شهرستان ابهر با اشاره به اینکه دو دانش آموزان معلول ترک تحصیلی در شهرستان ابهر شناسایی شده است، اضافه کرد: شرایط برای ادامه تحصیل این افراد فراهم شده و این افراد به چرخه آموزش بازمی گردند. \r\n این مسئول با اشاره به اینکه اولیای بی سواد ابهر شناسایی شده اند، تصریح کرد: در پالایش صورت گرفته بیش از 3 هزار ولی بی سواد در شهرستان ابهر شناسایی شده است. \r\n رضایی با اشاره به اینکه آموزش و پرورش ابهر در زمینه پالایش و جذب والدین بی سواد دانش آموزان موفق به کسب رتبه نخست استان شده است، گفت: آموزش و پرورش در زمینه پالایش و جذب موفق کسب امتیاز صد درصدی شده است. \r\n وی اضافه کرد: آموزش و پرورش در هر سه سوادآموزی، انتقال و تحکیم به صد درصد تعهدات خود عمل کرده است. \r\n انتهای پیام/73009/ی20
7,به تنهایی قادر به حل تمام مشکلات آموزشی نیستیم \r\n وزیر آموزش و پرورش گفت: آموزش و پرورش در دولت یازدهم بر مبنای برنامه حرکت می کند در واقع ما به وضعیت، چالش ها، کمبودها و اولویت های این مجموعه کاملا آگاه هستیم و این آگاهی برای دانستن راه بسیار موثر است. به گزارش ایسنا دکتر علی اضغر فانی در جلسه شورای آموزش و پرورش شهرستان گرمسار با اذعان به اینکه یکی از استراتژی های مهم در آموزش و پرورش کیفیت بخشی به حوزه آموزش است اظهار کرد: در سالهای پیشین تنها به مسئله کمیت در سیستم آموزشی توجه می شد و شمار دانش آموزان تا مرز 19 میلیون دانش آموز نیز پیش رفت اما امروز با 13 میلیون دانش آموز و با توجه به افزایش تجربه آموزشی و ازدیاد امکانات و فضای آموزشی باید توجه ما به استراتژی ارتقای کیفیت آموزشی باشد. فانی تصریح کرد: آموزش و پرورش در دولت یازدهم بر مبنای برنامه حرکت می کند در واقع ما به وضعیت، چالشها، کمبودها و اولویت های این مجموعه کاملا آگاه هستیم و این آگاهی برای دانستن راه بسیار موثر است. وی ادامه داد: با توجه به محدودیت های موجود در بخش منابع و همچنین محدودیتهای زمانی باید ابتدا اولویت ها را مشخص و سپس با برنامه ریزی در این راستا حرکت کنیم. فانی با بیان اینکه همه دولت ها به مساله آموزش و پرورش اهتمام داشته اند، افزود: آموزش و پرورش به تنهایی قادر به حل تمام مسائل و مشکلات آموزشی نیست و برای ارتقا و کیفیت بخشی آموزشی نیازمند همراهی و همفکری همه دستگاه های دولتی و خصوصی هستیم و برای همین منظور یکی از سیاست های جدی در دولت یازدهم توسعه مشارکت در آموزش و پرورش است و برگزاری همین شوراهای آموزش و پرورش نمادی از این توسعه مشارکت است. وی یکی از سیاستهای آموزش و پرورش در دولت یازدهم را جذب نیرو از بوم و استفاده در بوم عنوان و خاطرنشان کرد: با توجه به کمبود نیرو، ساماندهی این قشر هنر است، به طوری که ما در سال تحصیلی 93 با توجه به بازنشستگی 25 هزار کادر معلم و افزایش 200 هزار دانش آموز باز هم آموزش و پرورش را با همان نیروهای قبلی اداره کردیم.
7,بدون مشارکت مردم آموزش و پرورش قادر به انجام برنامه های خود نیست \r\n به گزارش خبرگزاری فارس از دشتستان، اصغر حصیری صبح امروز در دیدار با امام جمعه شبانکاره اظهار داشت: آموزش و پرورش از مهم ترین نهادهای فرهنگی هر جامعه است و رشد و تعالی هر جامعه در این مجموعه شکل خواهد گرفت. \r\n\r\n وی با تاکید بر ضرورت تعامل در جامعه امروزی افزود: تعامل کلید رسیدن به موفقیت در عرصه های مختلف است و آموزش و پرورش استان بوشهر این موضوع را در راس اهداف خود قرار داده است. \r\n\r\n مدیرکل آموزش و پرورش استان بوشهر خاطرنشان کرد: مجموعه آموزش و پرورش استان ضمن تعامل سازنده، آمادگی کامل برای بهره مندی از رهنمودهای راهگشای روحانیت در سراسر استان را دارد. \r\n\r\n حصیری بیان داشت: بدون مشارکت مردمی، آموزش و پرورش قادر به سرانجام رساندن طرح و برنامه های عمرانی و فرهنگی خود نیست و همراهی خیرین نقشی ارزنده در تحقق اهداف و برنامه های آموزش و پرورش دارد. \r\n\r\n وی اضافه کرد: تعامل خیرین مدرسه ساز در توسعه فضاهای آموزشی استان بوشهر تاثیر بسیار خوبی داشته و تاکنون 412 فضای آموزشی توسط خیرین مدرسه ساز به آموزش و پرورش استان بوشهر تحویل شده است. \r\n\r\n مدیرکل آموزش و پرورش استان بوشهر افزود: توسعه مشارکت ها از برنامه های راهبردی وزیر آموزش و پرورش بوده و نگاهی به تعهدات خیرین مدرسه ساز در طول سال های اخیر، بیان گر روند رو به رشد مشارکت خیرین مدرسه ساز در ساخت فضاهای آموزشی و پرورشی در استان بوشهر است. \r\n\r\n حصیری اذعان داشت: با مشارکت خیرین مدرسه ساز تا کنون 412 فضای آموزشی و پرورشی با یک هزار و 680 کلاس درس با اعتباری بالغ بر 114میلیارد تومان احداث و به آموزش و پرورش شهرستان ها و مناطق استان تحویل شده است. \r\n\r\n وی عنوان کرد: توسط خیرین مدرسه ساز در 6 ماه اول سال جاری 14 فضای آموزشی تحویل شده است و تا بهمن سال جاری تعداد 15 مدرسه و فضای آموزشی تحویل آموزش و پرورش خواهد شد. \r\n\r\n مدیرکل آموزش و پرورش استان بوشهر با تشریح پروژه های عمرانی آموزش و پرورش استان بوشهر گفت: 66 فضای آموزشی و پرورشی با فضای 290 کلاس درس و 43 هزار و 544 متر مربع زیربنای ساختمان و بالغ بر 595 میلیارد ریال اعتبار در شهرستان ها و مناطق آموزش و پرورش استان بوشهر در دست اجرا است. \r\n\r\n انتهای پیام/91001/س40
7,آموزش و پرورش در تمام حیطه ها نیاز به کمک های مردمی دارد \r\n سید ضیاء موسوی در گفت وگو با خبرنگار فارس در اصفهان با اشاره به سالروز تصویب قانون تشکیل شوراهای آموزش و پرورش اظهار کرد: با تصویب قانون تشکیل شوراهای آموزش و پرورش در 26 دی ماه سال 1372 در مجلس شورای اسلامی در نظام تعلیم و تربیت کشور تحولی اساسی به وجود آمد. \r\n\r\n وی افزود: هدف شورای آموزش و پرورش جلب مشارکت های مردمی، تامین و تکمیل منابع مادی و بهره گیری از تمام ظرفیت های فکری فرزندان این آب و خاک است. \r\n\r\n مدیر آموزش و پرورش سمیرم تصریح کرد: امروز در شورای آموزش و پرورش اصل بر ارائه گزارش، پاسخ دادن و یا قانع کردن نیست بلکه اساس شوراها تفکر گروهی، درست برنامه ریزی کردن و انجام کار صحیح است. \r\n\r\n وی با اشاره به اجرای طرح تحول بنیادین در نظام آموزش و پرورش ادامه داد: نقش مشارکت مردم در آموزش و پرورش باید نقشی اساسی باشد. \r\n\r\n موسوی با تاکید بر اینکه ماندن بچه ها در خانه خطری کمتر از خیابان گردی نیست، افزود: نقش آفرینی متقابل فرزندان و اولیا در تکمیل هرم نظام تعلیم و تربیت، اصل و اساس کار است. \r\n\r\n وی بر مشارکت مردم با دستگاه تعلیم و تربیت تاکید کرد و گفت: آموزش و پرورش در همه حیطه ها نیاز به کمک های مردمی دارد و نقش مردم در اجرا، نظارت و تکمیل برنامه های آموزش و پرورش بسیار راه گشاست. \r\n\r\n مدیر آموزش و پرورش سمیرم با اشاره به اهمیت جایگاه شورای آموزش و پرورش خاطرنشان کرد: فرماندار به عنوان رئیس شورای آموزش و پرورش، رئیس آموزش و پرورش به عنوان نایب رئیس شورا، امام جمعه و سایر اعضای شورای آموزش و پرورش به عنوان ارکان تصمیم گیری و سیاست گذاری برنامه های آموزش و پرورش در راستای تحقق اهداف شورا فعالیت می کنند. \r\n\r\n انتهای پیام/63016/ی20
7,بخشی از مشکلات آموزش و پرورش ساختاری است/ به آینده آموزش و پرورش خوشبین هستم \r\n به گزارش گروه آموزش و پرورش خبرگزاری فارس ، علی اصغر فانی وزیر آموزش و پرورش در بازدید از دبیرستان امام حسین (ع) واقع در روستای مرتضی گرد در منطقه 19 شهر تهران با حضور در جمع دبیران این دبیرستان اظهار داشت: حضور در جمع دبیران و استماع نظرات و پیشنهادهای معلمان را فرصت مغتنمی می دانم و همواره قدردان زحمات آنها هستم. \r\n\r\n وزیر آموزش و پرورش هدف از بازدید مدارس را تشکر از زحمات معلمان در کلاس های درس بیان کرد و گفت: آموزش و پرورش دارای مشکلات زیادی است که بخشی از آن ساختاری است. \r\n\r\n وی با اشاره به تشتت و پراکندی نیروی انسانی در شهر تهران، تصریح کرد: با افزایش یک پایه به دوره ابتدایی به دنبال نیاز به 48 هزار معلم ابتدایی در کل کشور سامان دهی نیروی انسانی در مقطع ابتدایی را با چالش های عمده ای مواجه کرد که آثار آن در برخی از امور مشاهده می شود. \r\n\r\n فانی خاطرنشان کرد: با وجود تمام مشکلات و تنگناهای پیش رو به آینده آموزش و پرورش خوش بین هستم هرچند که نمی توان تمام مشکلات را یک شبه حل کرد. \r\n\r\n انتهای پیام/
7,تنبیه بدنی به هیچ وجه مورد تأیید آموزش و پرورش نیست \r\n مهدی نوید ادهم، دبیرکل شورای عالی آموزش و پرورش در گفت وگو با خبرنگار آموزش و پرورش خبرگزاری فارس ، اظهار داشت: تنبیه بدنی امری مذموم و قبیح در آموزش و پرورش است و استراتژی مدیران و معلمان تنبیه بدنی نیست. \r\n\r\n وی با بیان اینکه در خصوص عدم تنبیه بدنی در مدارس قانون داریم، افزود: مصوبه خیلی خوبی نیز از سال های قبل در شورای عالی آموزش و پرورش در خصوص عدم تنبیه در مدارس به تصویب رسید. \r\n\r\n نوید ادهم با بیان این نکته که اگر معلمی خطایی انجام دهد با او برخورد می شود و به هیچ وجه تنبیه مورد تأیید آموزش و پرورش نیست، گفت: موضع آموزش و پرورش تنبیه بدنی نیست و فراوانی آن هم به شدت کاهش پیدا کرده است و بسیار اندک است که آموزش و پرورش هم پیگیری کرده و با این موارد برخورد می کند. \r\n\r\n انتهای پیام/
